Symbol,Name,MarketCap,Sector,Industry
AGFSW,"AgroFresh Solutions, Inc.",0,Finance,Business Services
AIMT,"Aimmune Therapeutics, Inc.",928603708,Health Care,Major Pharmaceuticals
AIRM,Air Methods Corporation,1568474641,Transportation,Transportation Services
AIRT,"Air T, Inc.",42295946,Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",1016830864,Transportation,Air Freight/Delivery Services
AIRG,"Airgain, Inc.",115196270,Technology,Radio And Television Broadcasting And Communications Equipment
AMCN,AirMedia Group Inc,111867697,Technology,Advertising
AKAM,"Akamai Technologies, Inc.",10973376818,Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,78579456,Health Care,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",392059349,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc,9052556,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,"Akorn, Inc.",3020180228,Health Care,Major Pharmaceuticals
ALRM,"Alarm.com Holdings, Inc.",1360380040,Technology,Computer Software: Prepackaged Software
ALSK,"Alaska Communications Systems Group, Inc.",85768692,Public Utilities,Telecommunications Equipment
AMRI,"Albany Molecular Research, Inc.",620202313,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ALBO,"Albireo Pharma, Inc.",161154613,Health Care,Major Pharmaceuticals
ABDC,Alcentra Capital Corp.,168632950,n/a,n/a
ADHD,Alcobra Ltd.,36380414,Health Care,Major Pharmaceuticals
ALDR,"Alder BioPharmaceuticals, Inc.",1189657592,Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",77172593,Health Care,Major Pharmaceuticals
ALXN,"Alexion Pharmaceuticals, Inc.",30320610113,Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",215768264,Consumer Non-Durables,Farming/Seeds/Milling
ALGN,"Align Technology, Inc.",8351928253,Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",85619033,Health Care,Major Pharmaceuticals
ALJJ,"ALJ Regional Holdings, Inc.",136915578,Miscellaneous,Business Services
ALKS,Alkermes plc,9300818514,Health Care,Major Pharmaceuticals
ABTX,"Allegiance Bancshares, Inc.",483940050,Finance,Major Banks
ALGT,Allegiant Travel Company,2869498343,Transportation,Air Freight/Delivery Services
AIQ,"Alliance HealthCare Services, Inc.",103627017,Health Care,Medical Specialities
AHGP,"Alliance Holdings GP, L.P.",1719863990,Energy,Coal Mining
AMMA,"Alliance MMA, Inc.",27518039,Consumer Services,Services-Misc. Amusement & Recreation
ARLP,"Alliance Resource Partners, L.P.",1689622865,Energy,Coal Mining
AHPI,"Allied Healthcare Products, Inc.",8308022,Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",231939947,Capital Goods,Electrical Products
ALQA,"Alliqua BioMedical, Inc.",21067138,Health Care,Medical/Dental Instruments
ALLT,Allot Communications Ltd.,162710820,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",2189623721,Technology,EDP Services
AFAM,Almost Family Inc,514884427,Health Care,Medical/Nursing Services
ALNY,"Alnylam Pharmaceuticals, Inc.",4424549100,Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,431749442,Technology,Semiconductors
GOOG,Alphabet Inc.,573242764709,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,587071171249,Technology,"Computer Software: Programming, Data Processing"
SMCP,AlphaMark Actively Managed Small Cap ETF,26432399,n/a,n/a
ATEC,"Alphatec Holdings, Inc.",41311586,Health Care,Medical/Dental Instruments
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,3925552,n/a,n/a
ASPS,Altisource Portfolio Solutions S.A.,484542435,Consumer Services,Other Consumer Services
AIMC,Altra Industrial Motion Corp.,1181584341,Capital Goods,Industrial Machinery/Components
AMAG,"AMAG Pharmaceuticals, Inc.",793241249,Health Care,Major Pharmaceuticals
AMRN,Amarin Corporation plc,822173372,Health Care,Major Pharmaceuticals
AMRK,"A-Mark Precious Metals, Inc.",132824091,Basic Industries,Other Specialty Stores
AYA,Amaya Inc.,2074218942,Technology,"Computer Software: Programming, Data Processing"
AMZN,"Amazon.com, Inc.",405537764826,Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",1014032947,Finance,Property-Casualty Insurers
AMBCW,"Ambac Financial Group, Inc.",0,Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",1841033538,Technology,Semiconductors
AMCX,AMC Networks Inc.,4083314998,Consumer Services,Television Services
DOX,Amdocs Limited,9042094880,Technology,EDP Services
AMDA,Amedica Corporation,14143304,Health Care,Medical/Dental Instruments
AMED,Amedisys Inc,1705394633,Health Care,Medical/Nursing Services
UHAL,Amerco,7494096574,Consumer Services,Rental/Leasing Companies
ATAX,"America First Multifamily Investors, L.P.",346454336,Finance,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",43009984000,Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",23604508868,Transportation,Air Freight/Delivery Services
ACSF,"American Capital Senior Floating, Ltd.",131001310,n/a,n/a
AETI,"American Electric Technologies, Inc.",15838339,Energy,Industrial Machinery/Components
AMNB,"American National Bankshares, Inc.",315420667,Finance,Major Banks
ANAT,American National Insurance Company,3257194726,Finance,Life Insurance
AOBC,American Outdoor Brands Corporation,1060718643,Capital Goods,Ordnance And Accessories
APEI,"American Public Education, Inc.",333991087,Consumer Services,Other Consumer Services
ARII,"American Railcar Industries, Inc.",801522876,Capital Goods,Railroads
AMRB,American River Bankshares,100065037,Finance,Major Banks
AMSWA,"American Software, Inc.",305598097,Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,91434504,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,1397629013,Basic Industries,Forest Products
CRMT,"America&#39;s Car-Mart, Inc.",259443994,Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,1648827284,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",1251881789,Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,70888020,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,0,Finance,Major Banks
ATLO,Ames National Corporation,305397946,Finance,Major Banks
AMGN,Amgen Inc.,132708792938,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",1111570571,Health Care,Major Pharmaceuticals
AMKR,"Amkor Technology, Inc.",2447581233,Technology,Semiconductors
AMPH,"Amphastar Pharmaceuticals, Inc.",691737684,Health Care,Major Pharmaceuticals
IBUY,Amplify Online Retail ETF,0,n/a,n/a
ASYS,"Amtech Systems, Inc.",80658754,Technology,Industrial Machinery/Components
AFSI,"AmTrust Financial Services, Inc.",3925481072,Finance,Property-Casualty Insurers
AMRS,"Amyris, Inc.",124169891,Basic Industries,Major Chemicals
ADI,"Analog Devices, Inc.",25719811393,Technology,Semiconductors
ALOG,Analogic Corporation,1050028071,Capital Goods,Electrical Products
ANAB,"AnaptysBio, Inc.",564445486,Health Care,Major Pharmaceuticals
AVXL,Anavex Life Sciences Corp.,241100582,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ANCB,Anchor Bancorp,66125136,Finance,Banks
ANDA,Andina Acquisition Corp. II,53843400,Finance,Business Services
ANDAR,Andina Acquisition Corp. II,0,Finance,Business Services
ANDAU,Andina Acquisition Corp. II,0,Finance,Business Services
ANDAW,Andina Acquisition Corp. II,0,Finance,Business Services
ANGI,"Angie&#39;s List, Inc.",328645235,Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",618867737,Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",580374188,Health Care,Major Pharmaceuticals
ANIK,Anika Therapeutics Inc.,676022647,Health Care,Medical/Dental Instruments
ANSS,"ANSYS, Inc.",9075188487,Technology,Computer Software: Prepackaged Software
ATRS,"Antares Pharma, Inc.",387716818,Health Care,Medical/Dental Instruments
ANTH,"Anthera Pharmaceuticals, Inc.",26842890,Health Care,Major Pharmaceuticals
ABAC,"Aoxin Tianli Group, Inc.",21648144,Consumer Non-Durables,Farming/Seeds/Milling
APOG,"Apogee Enterprises, Inc.",1666928663,Capital Goods,Auto Parts:O.E.M.
APEN,"Apollo Endosurgery, Inc.",109889000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINV,Apollo Investment Corporation,1412636625,n/a,n/a
APPF,"AppFolio, Inc.",807984050,Technology,Computer Software: Prepackaged Software
AAPL,Apple Inc.,733361361200,Technology,Computer Manufacturing
ARCI,"Appliance Recycling Centers of America, Inc.",7387455,Consumer Services,Home Furnishings
APDN,Applied DNA Sciences Inc,52702966,Consumer Services,Other Consumer Services
APDNW,Applied DNA Sciences Inc,0,Consumer Services,Other Consumer Services
AGTC,Applied Genetic Technologies Corporation,150997751,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAT,"Applied Materials, Inc.",39813369081,Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",917121756,Technology,Semiconductors
AREX,Approach Resources Inc.,199590245,Energy,Oil & Gas Production
APTI,"Apptio, Inc.",500915311,Technology,Computer Software: Prepackaged Software
APRI,"Apricus Biosciences, Inc.",20492993,Health Care,Major Pharmaceuticals
APVO,Aptevo Therapeutics Inc.,38877742,Health Care,Major Pharmaceuticals
APTO,"Aptose Biosciences, Inc.",18985205,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AQMS,"Aqua Metals, Inc.",331756580,Basic Industries,Metal Fabrications
AQB,"AquaBounty Technologies, Inc.",129010316,n/a,n/a
AQXP,"Aquinox Pharmaceuticals, Inc.",429112108,Health Care,Major Pharmaceuticals
ARDM,Aradigm Corporation,29005113,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ARLZ,Aralez Pharmaceuticals Inc.,246886831,Health Care,Major Pharmaceuticals
PETX,"Aratana Therapeutics, Inc.",254124049,Health Care,Major Pharmaceuticals
ABUS,Arbutus Biopharma Corporation,148072066,Health Care,Major Pharmaceuticals
ARCW,"ARC Group Worldwide, Inc.",81968146,Capital Goods,Metal Fabrications
ABIO,"ARCA biopharma, Inc.",23160033,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA,"Arcadia Biosciences, Inc.",40476133,Basic Industries,Agricultural Chemicals
ARCB,ArcBest Corporation,767394055,Transportation,Trucking Freight/Courier Services
ACGL,Arch Capital Group Ltd.,11614217921,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd.,0,Finance,Property-Casualty Insurers
APLP,"Archrock Partners, L.P.",1151839139,Public Utilities,Natural Gas Distribution
ACAT,Arctic Cat Inc.,241500516,Capital Goods,Industrial Specialties
ARDX,"Ardelyx, Inc.",672052062,Health Care,Major Pharmaceuticals
ARNA,"Arena Pharmaceuticals, Inc.",374837232,Health Care,Major Pharmaceuticals
ARCC,Ares Capital Corporation,7560447088,n/a,n/a
AGII,"Argo Group International Holdings, Ltd.",2030787921,Finance,Specialty Insurers
AGIIL,"Argo Group International Holdings, Ltd.",0,Finance,Specialty Insurers
ARGS,"Argos Therapeutics, Inc.",59808083,Health Care,Major Pharmaceuticals
ARIS,"ARI Network Services, Inc.",90617566,Technology,"Computer Software: Programming, Data Processing"
ARKR,Ark Restaurants Corp.,87162606,Consumer Services,Restaurants
ARTX,Arotech Corporation,101787162,Miscellaneous,Industrial Machinery/Components
ARQL,"ArQule, Inc.",89609573,Health Care,Major Pharmaceuticals
ARRY,Array BioPharma Inc.,1987525201,Health Care,Major Pharmaceuticals
ARRS,ARRIS International plc,4761069605,Technology,Radio And Television Broadcasting And Communications Equipment
DWAT,Arrow DWA Tactical ETF,9765000,n/a,n/a
AROW,Arrow Financial Corporation,469198253,Finance,Major Banks
ARWR,"Arrowhead Pharmaceuticals, Inc.",165544747,Health Care,Major Pharmaceuticals
ARTNA,Artesian Resources Corporation,295241555,Public Utilities,Water Supply
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",16641661,Capital Goods,Industrial Machinery/Components
ASBB,"ASB Bancorp, Inc.",126496555,Finance,Savings Institutions
ASNA,"Ascena Retail Group, Inc.",864752462,Consumer Services,Clothing/Shoe/Accessory Stores
ASND,Ascendis Pharma A/S,833796439,Health Care,Major Pharmaceuticals
ASCMA,"Ascent Capital Group, Inc.",187290007,Consumer Services,Other Consumer Services
APWC,Asia Pacific Wire & Cable Corporation Limited,37313106,Basic Industries,Telecommunications Equipment
ASML,ASML Holding N.V.,7720146485,Technology,Industrial Machinery/Components
AZPN,"Aspen Technology, Inc.",4511080333,Technology,EDP Services
ASMB,"Assembly Biosciences, Inc.",364148212,Health Care,Major Pharmaceuticals
ASFI,"Asta Funding, Inc.",106292205,Finance,Finance Companies
ASTE,"Astec Industries, Inc.",1459395836,Capital Goods,Construction/Ag Equipment/Trucks
ATRO,Astronics Corporation,976519450,Capital Goods,Military/Government/Technical
ALOT,"AstroNova, Inc.",100883813,Technology,Computer peripheral equipment
ASTC,Astrotech Corporation,31483355,Capital Goods,Military/Government/Technical
ASUR,Asure Software Inc,93981495,Technology,EDP Services
ATAI,ATA Inc.,47282770,Consumer Services,Other Consumer Services
ATRA,"Atara Biotherapeutics, Inc.",494959890,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHN,"athenahealth, Inc.",4652515713,Miscellaneous,Business Services
ATHX,"Athersys, Inc.",127027683,Health Care,Major Pharmaceuticals
AAPC,Atlantic Alliance Partnership Corp.,51621262,Consumer Services,Services-Misc. Amusement & Recreation
AAME,Atlantic American Corporation,76557105,Finance,Life Insurance
ACBI,"Atlantic Capital Bancshares, Inc.",474260252,Finance,Major Banks
ACFC,Atlantic Coast Financial Corporation,119729951,Finance,Savings Institutions
ABY,Atlantica Yield plc,2081512490,Public Utilities,Electric Utilities: Central
ATLC,Atlanticus Holdings Corporation,41093660,Finance,Finance: Consumer Services
AAWW,Atlas Air Worldwide Holdings,1428447665,Transportation,Transportation Services
AFH,"Atlas Financial Holdings, Inc.",159308659,Finance,Property-Casualty Insurers
TEAM,Atlassian Corporation Plc,6404839901,Technology,Computer Software: Prepackaged Software
ATNI,"ATN International, Inc.",1076664511,Public Utilities,Telecommunications Equipment
ATOM,Atomera Incorporated,71906893,Technology,Semiconductors
ATOS,Atossa Genetics Inc.,5720209,Health Care,Medical/Dental Instruments
ATRC,"AtriCure, Inc.",630229717,Health Care,Medical/Dental Instruments
ATRI,Atrion Corporation,893441130,Health Care,Medical/Dental Instruments
ATTU,Attunity Ltd.,144160997,Technology,Computer Software: Prepackaged Software
LIFE,"aTyr Pharma, Inc.",81828925,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUBN,"Auburn National Bancorporation, Inc.",120236259,Finance,Major Banks
BOLD,"Audentes Therapeutics, Inc.",336088272,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUDC,AudioCodes Ltd.,215461268,Public Utilities,Telecommunications Equipment
AUPH,Aurinia Pharmaceuticals Inc,254007610,Health Care,Major Pharmaceuticals
EARS,Auris Medical Holding AG,32803981,Health Care,Major Pharmaceuticals
ABTL,Autobytel Inc.,137029125,Technology,"Computer Software: Programming, Data Processing"
ADSK,"Autodesk, Inc.",18988507953,Technology,Computer Software: Prepackaged Software
ADP,"Automatic Data Processing, Inc.",46910319819,Technology,EDP Services
AVDL,Avadel Pharmaceuticals plc,405907982,Health Care,Major Pharmaceuticals
AVEO,"AVEO Pharmaceuticals, Inc.",64483504,Health Care,Major Pharmaceuticals
AVXS,"AveXis, Inc.",1849329564,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVNW,"Aviat Networks, Inc.",80496541,Technology,Radio And Television Broadcasting And Communications Equipment
AVID,"Avid Technology, Inc.",218563452,Technology,Computer Software: Prepackaged Software
AVGR,"Avinger, Inc.",63851746,Health Care,Medical/Dental Instruments
AVIR,"Aviragen Therapeutics, Inc.",25469847,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CAR,"Avis Budget Group, Inc.",2964128246,Consumer Services,Rental/Leasing Companies
AHPA,Avista Healthcare Public Acquisition Corp.,382387500,Finance,Business Services
AHPAU,Avista Healthcare Public Acquisition Corp.,0,Finance,Business Services
AHPAW,Avista Healthcare Public Acquisition Corp.,0,Finance,Business Services
AWRE,"Aware, Inc.",108791921,Technology,Computer Software: Prepackaged Software
AXAR,Axar Acquisition Corp.,84890988,Finance,Business Services
AXARU,Axar Acquisition Corp.,0,Finance,Business Services
AXARW,Axar Acquisition Corp.,0,Finance,Business Services
ACLS,"Axcelis Technologies, Inc.",450149500,Technology,Industrial Machinery/Components
AXGN,"AxoGen, Inc.",330088650,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXSM,"Axsome Therapeutics, Inc.",96724756,Health Care,Major Pharmaceuticals
AXTI,AXT Inc,231220353,Technology,Semiconductors
AZRX,"AzurRx BioPharma, Inc.",39294839,n/a,n/a
BCOM,B Communications Ltd.,598378681,Consumer Services,Telecommunications Equipment
RILY,"B. Riley Financial, Inc.",282789619,n/a,n/a
RILYL,"B. Riley Financial, Inc.",0,Miscellaneous,Business Services
BOSC,B.O.S. Better Online Solutions,6791454,Technology,Computer Communications Equipment
BEAV,"B/E Aerospace, Inc.",6468606994,Capital Goods,Military/Government/Technical
BIDU,"Baidu, Inc.",47622862101,Technology,"Computer Software: Programming, Data Processing"
BCPC,Balchem Corporation,2754530441,Basic Industries,Major Chemicals
BWINA,"Baldwin & Lyons, Inc.",362016216,Finance,Property-Casualty Insurers
BWINB,"Baldwin & Lyons, Inc.",362770416,Finance,Property-Casualty Insurers
BLDP,"Ballard Power Systems, Inc.",361731734,Energy,Industrial Machinery/Components
BANF,BancFirst Corporation,1487583870,Finance,Major Banks
BANFP,BancFirst Corporation,27700100,Finance,Major Banks
BCTF,"Bancorp 34, Inc.",43665013,Finance,Savings Institutions
BKMU,Bank Mutual Corporation,447779542,Finance,Savings Institutions
BOCH,Bank of Commerce Holdings (CA),134394220,Finance,Major Banks
BMRC,Bank of Marin Bancorp,418189181,Finance,Major Banks
BMLP,Bank Of Montreal,0,n/a,n/a
BKSC,Bank of South Carolina Corp.,102443037,Finance,Major Banks
BOTJ,"Bank of the James Financial Group, Inc.",72025272,Finance,Major Banks
OZRK,Bank of the Ozarks,6819505980,Finance,Major Banks
BFIN,BankFinancial Corporation,287408973,Finance,Savings Institutions
BWFG,"Bankwell Financial Group, Inc.",247240907,Finance,Major Banks
BANR,Banner Corporation,1972361038,Finance,Major Banks
BZUN,Baozun Inc.,393547532,Consumer Services,Catalog/Specialty Distribution
TAPR,Barclays Inverse US Treasury Composite ETN,18837507,Finance,Commercial Banks
BHAC,Barington/Hilco Acquisition Corp.,58028663,Finance,Business Services
BHACR,Barington/Hilco Acquisition Corp.,0,Finance,Business Services
BHACU,Barington/Hilco Acquisition Corp.,0,Finance,Business Services
BHACW,Barington/Hilco Acquisition Corp.,0,Finance,Business Services
BBSI,"Barrett Business Services, Inc.",461276715,Technology,Professional Services
BSET,"Bassett Furniture Industries, Incorporated",294401579,Consumer Durables,Home Furnishings
BYBK,"Bay Bancorp, Inc.",84171589,Finance,Major Banks
BV,"Bazaarvoice, Inc.",333868012,Technology,Computer Software: Prepackaged Software
BCBP,"BCB Bancorp, Inc. (NJ)",169008375,Finance,Savings Institutions
BECN,"Beacon Roofing Supply, Inc.",2795372480,Consumer Services,RETAIL: Building Materials
BSF,"Bear State Financial, Inc.",358505229,Finance,Major Banks
BBGI,"Beasley Broadcast Group, Inc.",253218988,Consumer Services,Broadcasting
BEBE,"bebe stores, inc.",54047594,Consumer Non-Durables,Apparel
BBBY,Bed Bath & Beyond Inc.,6048683930,Consumer Services,Home Furnishings
BGNE,"BeiGene, Ltd.",754001236,Health Care,Major Pharmaceuticals
BELFA,Bel Fuse Inc.,261868935,Capital Goods,Electrical Products
BELFB,Bel Fuse Inc.,321609550,Capital Goods,Electrical Products
BLPH,"Bellerophon Therapeutics, Inc.",44383674,Health Care,Major Pharmaceuticals
BLCM,"Bellicum Pharmaceuticals, Inc.",330418459,Health Care,Major Pharmaceuticals
BNCL,"Beneficial Bancorp, Inc.",1255338672,Finance,Savings Institutions
BNFT,"Benefitfocus, Inc.",829292229,Technology,Computer Software: Prepackaged Software
BNTC,Benitec Biopharma Limited,3036718,Health Care,Major Pharmaceuticals
BNTCW,Benitec Biopharma Limited,0,Health Care,Major Pharmaceuticals
BGCP,"BGC Partners, Inc.",3206268764,Finance,Investment Bankers/Brokers/Service
BGFV,Big 5 Sporting Goods Corporation,340095458,Consumer Services,Other Specialty Stores
BASI,"Bioanalytical Systems, Inc.",12810940,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ORPN,Bioblast Pharma Ltd.,15818058,Health Care,Major Pharmaceuticals
BIOC,"Biocept, Inc.",40423607,Health Care,Medical Specialities
BCRX,"BioCryst Pharmaceuticals, Inc.",567975698,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BDSI,"BioDelivery Sciences International, Inc.",109588991,Health Care,Major Pharmaceuticals
BIIB,Biogen Inc.,64321286818,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BIOL,"Biolase, Inc.",95943650,Health Care,Medical/Dental Instruments
BLFS,"BioLife Solutions, Inc.",27301123,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLRX,BioLineRx Ltd.,41459004,Health Care,Major Pharmaceuticals
BMRN,BioMarin Pharmaceutical Inc.,16240807205,Health Care,Major Pharmaceuticals
BMRA,"Biomerica, Inc.",19372079,Health Care,Medical/Dental Instruments
